[31-Jan-2013 02:18:00]  <IllFlower> and off we go.
[31-Jan-2013 05:07:58]  <Barcode> ((side note, I was so nervous about this computer thing (the laptops' working again), I went to step away from where I was sitting and I sweat-slipped right off of my rubber slippers. also, congrats on your first victory, zoose))
[31-Jan-2013 05:08:36]  * Makoto sullenly follows Aoi, grumbling about cheating prize wheels
[31-Jan-2013 05:09:10]  <Makoto> ((A victory. Yes. let us call it that.))
[31-Jan-2013 05:09:20]  <IllFlower> the elevator dings open, and the doctor steps inside, pushing the button for the lobby, and then one in the middle of the building.
[31-Jan-2013 05:09:22]  <ponicalica> 14congratulations, Makoto
[31-Jan-2013 05:09:24]  <Barcode> ((hey, nobody takes on a witch alone :P ))
[31-Jan-2013 05:09:25]  <ponicalica> 14insert shinji here
[31-Jan-2013 05:09:30]  <ponicalica> 14great blue ball witch
[31-Jan-2013 05:10:05]  <IllFlower> the doctor steps out on her floor, leaving Aoi and Makoto alone as they leave the hospital. **
[31-Jan-2013 05:10:33]  <Aoi> "Hey, Makoto.  Question for you."
[31-Jan-2013 05:10:48]  * Makoto grumbles a little more, rather hypocritically, about what a showoff Aoi is, but loses interest in a few minutes and gets distracted by something shiny
[31-Jan-2013 05:10:57]  <Makoto> "...yeah? What's up?"
[31-Jan-2013 05:11:17]  <Aoi> "Your outfit."
[31-Jan-2013 05:11:21]  <Aoi> "Are those colors even real?"
[31-Jan-2013 05:11:42]  <Makoto> "Pretty cool, right?"
[31-Jan-2013 05:11:46]  * Makoto looks a little smug
[31-Jan-2013 05:11:56]  <Aoi> "Heh.  Yes.  Fits you perfectly."
[31-Jan-2013 05:12:17]  * Makoto grins. "Right? Doesn't it?!"
[31-Jan-2013 05:12:28]  <ponicalica> 14now imagine makoto and sumire together
[31-Jan-2013 05:12:47]  <Makoto> ((sumire has like a glowy chandelier dress right?))
[31-Jan-2013 05:12:50]  <ponicalica> 14yeah
[31-Jan-2013 05:13:01]  <Aoi> "If you're that bright it's a wonder your explosives don't seek you out all the time!"
[31-Jan-2013 05:13:08]  <Barcode> ((and you're both friends with miaka, whose outfit is blacker than the blackest black))
[31-Jan-2013 05:13:31]  <Makoto> ((How much more black could it be? And the answer is none. None more black.))
[31-Jan-2013 05:14:49]  <Makoto> "H-hey, cut it out, I'm fine! I told you, it was fighting dirty!" (under her breath) "knew I should have brought that horseshoe..."
[31-Jan-2013 05:14:59]  * Aoi just grins
[31-Jan-2013 05:15:54]  <Makoto> "Come ooonnnn, that doesn't usually happen, I swear! I totally defeated two witches already, all by myself! Pyunpyun told me I did a good job and everything!"
[31-Jan-2013 05:16:43]  <Makoto> "I only tripped like twice while I was doing it, too!"
[31-Jan-2013 05:17:16]  <Aoi> "With impeccable style, right?"
[31-Jan-2013 05:17:44]  <Makoto> "Like I have any other way of doing things."
[31-Jan-2013 05:17:50]  * Makoto insanely smug grin
[31-Jan-2013 05:17:50]  * Aoi dances circles around Makoto a few times as they walk out
[31-Jan-2013 05:17:58]  <IllFlower> Aoi and Makoto are so cute together, don't you think?
[31-Jan-2013 05:18:05]  <Makoto> ((pffff)
[31-Jan-2013 05:18:14]  <Makoto> ((is that like, game over, man?))
[31-Jan-2013 05:18:46]  <ponicalica> 14so how long before we start getting arc 2 settingshit
[31-Jan-2013 05:18:50]  <IllFlower> we may as well wrap it up there. go ahead and pick someone to give your gift XP to.
[31-Jan-2013 05:19:06]  <Makoto> 1xp to Aoi for being a fabulous bastard
[31-Jan-2013 05:19:09]  <Barcode> (("GET PAID TO WATCH PORN, START NOW!" spam emailers: really desperate))
[31-Jan-2013 05:19:23]  <ponicalica> 14give your gift xp to Sumire
[31-Jan-2013 05:19:25]  <IllFlower> I've already wiped 1 OC from each of your attributes, setting you both back at zero.
[31-Jan-2013 05:19:40]  <Makoto> ((resolve resets after every battle, right?))
[31-Jan-2013 05:19:46]  <Barcode> ((resolve does, yeah))
[31-Jan-2013 05:19:47]  <ponicalica> 14yup
[31-Jan-2013 05:19:52]  <Aoi> 141 to makoto for splosions
[31-Jan-2013 05:20:21]  <IllFlower> and done. that's all for tonight, everyone. thanks for playing.
