[21-Apr-2013 01:44:59]  <CharlaGM> Thaaaaat's everyone then.
[21-Apr-2013 04:09:12]  <TrooperBlake> (But didn't we tie with the aliens?)
[21-Apr-2013 04:09:19]  <TrooperAmemiya> (Successes are ordered from the highest roll to the lowest, so while a low roll gives you success you may need a higher roll to be more successful than your opponent.)
[21-Apr-2013 04:09:51]  <TrooperAmemiya> (Alan rolled a 6; highest success I believe)
[21-Apr-2013 04:10:31]  <Alan_Walsh> (What does this mean?)
[21-Apr-2013 04:10:31]  <CharlaGM> (As for tie between the aliens and you guys)
[21-Apr-2013 04:10:53]  <CharlaGM> +roll 1d10
[21-Apr-2013 04:10:53]  <rollermine> CharlaGM: (9)=9
[21-Apr-2013 04:10:54]  <CharlaGM> (It means you choose whether the team starts at close, medium or far)
[21-Apr-2013 04:11:14]  <CharlaGM> (This is important because of the range stats for your weapons)
[21-Apr-2013 04:12:31]  <Alan_Walsh> (Looks like Near's the best option, let's go with that.)
[21-Apr-2013 04:12:49]  <TrooperBlake> (Well, that's for BGT and Lin to negotiate.)
[21-Apr-2013 04:13:11]  <Cpldrake> Keep 'em close so I can dust 'em
[21-Apr-2013 04:13:29]  <TrooperAmemiya> +roll d10
[21-Apr-2013 04:13:29]  <rollermine> TrooperAmemiya: 6=6
[21-Apr-2013 04:14:28]  <TrooperBlake> (Your roll, Lin.)
[21-Apr-2013 04:14:29]  <CharlaGM> Alright, so you guys definitely get the first shot off
[21-Apr-2013 04:14:34]  <Lin_Chong> +roll d10
[21-Apr-2013 04:14:35]  <rollermine> Lin_Chong: 2=2
[21-Apr-2013 04:15:07]  <TrooperBlake> (Well, Lin gets to pick the range, I'm guessing.)
[21-Apr-2013 04:15:07]  <CharlaGM> (Holy shit, yeah, you definitely go first. Lin chooses range.)
[21-Apr-2013 04:15:37]  <CharlaGM> (Yes.)
[21-Apr-2013 04:16:16]  <Lin_Chong> (how do I do that)
[21-Apr-2013 04:16:35]  <TrooperAmemiya> (I thought JBridge got the highest success)
[21-Apr-2013 04:16:48]  *** Alicia <Mibbit@c-98-199-217-5.hsd1.tx.comcast.net> has joined #madokamadness
[21-Apr-2013 04:17:25]  <TrooperBlake> (@BGT: It works backwards here: the lower the number you roll, the better.)
[21-Apr-2013 04:17:25]  <CharlaGM> (Let's just assume Lin rolled highest for now)
[21-Apr-2013 04:17:53]  <TrooperBlake> (I'm assuming it's like how Armor Class works in D&D or whatever.)
[21-Apr-2013 04:17:54]  <CharlaGM> (Lin: You just pick it.)
[21-Apr-2013 04:17:54]  <CharlaGM> (BGTB: You want to roll under here.)
[21-Apr-2013 04:18:14]  <TrooperBlake> (Lin: Choose Close, Near, or Far.)
[21-Apr-2013 04:19:00]  <CharlaGM> (Lin: The ranges relate to the three different numbers for each weapon on your char sheet)
[21-Apr-2013 04:21:04]  <Lin_Chong> (far then)
[21-Apr-2013 04:21:34]  <TrooperBlake> "If these things could fuck up a dropship..."
[21-Apr-2013 04:21:35]  <CharlaGM> (Alright.)
[21-Apr-2013 04:22:23]  <CharlaGM> Noooow everybody rolls d10
[21-Apr-2013 04:22:34]  <Lin_Chong> +roll
[21-Apr-2013 04:22:34]  <rollermine> Lin_Chong: Peg parsing error at character position 0.
[21-Apr-2013 04:22:37]  <TrooperBlake> +roll d10
[21-Apr-2013 04:22:37]  <rollermine> TrooperBlake: 9=9
[21-Apr-2013 04:22:45]  <Lin_Chong> +roll d10
[21-Apr-2013 04:22:46]  <rollermine> Lin_Chong: 6=6
[21-Apr-2013 04:22:47]  <TrooperBlake> (Shit.)
[21-Apr-2013 04:22:57]  <Cpldrake> +roll d10
[21-Apr-2013 04:22:57]  <rollermine> Cpldrake: 4=4
[21-Apr-2013 04:22:58]  <TrooperAmemiya> +roll d10
[21-Apr-2013 04:22:59]  <rollermine> TrooperAmemiya: 7=7
[21-Apr-2013 04:23:16]  <Alan_Walsh> +roll d10
[21-Apr-2013 04:23:17]  <rollermine> Alan_Walsh: 10=10
[21-Apr-2013 04:23:21]  <Alan_Walsh> (Oh my.)
[21-Apr-2013 04:23:35]  <TrooperBlake> (All of us failed.)
[21-Apr-2013 04:23:37]  <TrooperAmemiya> (Failed both FA and NFA)
[21-Apr-2013 04:23:40]  <Alan_Walsh> (Bollocks.)
[21-Apr-2013 04:23:51]  <Alan_Walsh> +roll d1
[21-Apr-2013 04:23:51]  <rollermine> Alan_Walsh: 1=1
[21-Apr-2013 04:23:52]  <CharlaGM> Now from highest to lowest roll the Far range stats for your weapons.
[21-Apr-2013 04:23:53]  <Alan_Walsh> There.
[21-Apr-2013 04:23:56]  <CharlaGM> (No no, you did good! This is rolling Ambush kills for you guys.)
[21-Apr-2013 04:24:07]  <Alan_Walsh> (Ah.)
[21-Apr-2013 04:24:10]  <TrooperAmemiya> (oh)
[21-Apr-2013 04:24:17]  <CharlaGM> (Also feel free to add flavor text.)
[21-Apr-2013 04:24:17]  <Alan_Walsh> (I got nothin' for Far.)
[21-Apr-2013 04:24:22]  <CharlaGM> (Also also this will go much smoother next time.)
[21-Apr-2013 04:24:32]  <Alan_Walsh> (Probably.)
[21-Apr-2013 04:24:33]  <TrooperBlake> (I got 1 for Far.)
[21-Apr-2013 04:24:36]  <TrooperAmemiya> +roll d6
[21-Apr-2013 04:24:36]  <rollermine> TrooperAmemiya: 4=4
[21-Apr-2013 04:25:14]  * TrooperBlake fires a grenade into the crowd of sharks, said grenade lands down the gullet of one and explodes the shark messily.
[21-Apr-2013 04:25:40]  * TrooperAmemiya flicks the safety off and takes aim, firing short bursts into the sharks below
[21-Apr-2013 04:25:59]  <CharlaGM> (Aaaand when all of you are done add the kills to your kills this planet and total kills)
[21-Apr-2013 04:28:19]  <TrooperAmemiya> (So add our d10 roll and our weapon rolls?)
[21-Apr-2013 04:28:46]  <TrooperBlake> (Lin, you have to roll for Ambush kills.)
[21-Apr-2013 04:29:28]  <Lin_Chong> (which dice)
[21-Apr-2013 04:29:43]  <TrooperBlake> (A d6.)
[21-Apr-2013 04:29:57]  <CharlaGM> (No, no, no, the d10 is to determine order and THEN you roll the weapon rolls to determine kills made)
[21-Apr-2013 04:30:25]  <TrooperBlake> (Oh. Whoops.)
[21-Apr-2013 04:31:04]  <Lin_Chong> +roll d10
[21-Apr-2013 04:31:04]  <rollermine> Lin_Chong: 3=3
[21-Apr-2013 04:31:43]  <Cpldrake> (I got nothing for far)
[21-Apr-2013 04:32:42]  <CharlaGM> Alright.
[21-Apr-2013 04:33:11]  <CharlaGM> (That's about 10 shaaaarks so far.)
[21-Apr-2013 04:33:42]  <CharlaGM> (Who actually made a kill?)
[21-Apr-2013 04:33:54]  <TrooperBlake> (Me and BGT, I think.)
[21-Apr-2013 04:34:25]  <TrooperAmemiya> (I have no idea what's going on anymore :<)
[21-Apr-2013 04:34:37]  <CharlaGM> (Also Lin, and neither do I.)
[21-Apr-2013 04:34:54]  <CharlaGM> (...You know what? I screwed up I think.)
[21-Apr-2013 04:34:54]  <CharlaGM> (Tell you what.)
[21-Apr-2013 04:35:19]  <CharlaGM> (We try again next week and we start from abooooout where people upchucked in the drop ship.)
[21-Apr-2013 04:35:27]  <Alan_Walsh> (Sure.)
[21-Apr-2013 04:35:27]  <CharlaGM> (Because everything kinda came to a crawl.)
[21-Apr-2013 04:35:31]  <TrooperBlake> (Sure.)
[21-Apr-2013 04:35:37]  <TrooperAmemiya> (sounds good)
[21-Apr-2013 04:35:55]  <TrooperBlake> (Should we revert the changes we made to the kill counts?)
[21-Apr-2013 04:36:05]  <CharlaGM> (My apologies, guys. Although I may also need to talk to Lin to see if he'll really be able to participate reliably.)
[21-Apr-2013 04:36:09]  <CharlaGM> (And yes.)
[21-Apr-2013 04:36:21]  <Lin_Chong> I'm just really bad with the rules
[21-Apr-2013 04:36:35]  <CharlaGM> (Ah.)
[21-Apr-2013 04:36:55]  <CharlaGM> (Do you not play RPGs often or is this just plumb confusing?)
[21-Apr-2013 04:38:08]  <Alan_Walsh> http://www.youtube.com/watch?v=bTnuNUCTAtE Since we're done here, I'll link this.
[21-Apr-2013 04:38:08]  <Omnipresence> 14URL: [www.youtube.com] GTA IV long distance road rash - YouTube
[21-Apr-2013 04:38:20]  <Lin_Chong> (it's just kind of confusing)
[21-Apr-2013 04:38:48]  <CharlaGM> (Lin: Ah. I'll see if I can explain it better sometime this week then.)
