[27-Jan-2013 20:12:43]  <IllFlower> and we're off.
[27-Jan-2013 22:29:44]  <Yuna> (I am so bad at this)
[27-Jan-2013 22:30:18]  <Miaka_Watanabe[Barcode]> ((meh, I just have read enough violencefiction to know what actions to write))
[27-Jan-2013 22:31:39]  <Miaka_Watanabe[Barcode]> ((man I totally have friendshipbreaking all planned out >_>))
[27-Jan-2013 22:31:50]  <IllFlower> as Yuna and Miaka pull away from the witch, the witch suddenly issues another loud scream, knocking them both back with the force of an explosion. 2 damage each.
[27-Jan-2013 22:31:54]  <IllFlower> Sumire's turn.
[27-Jan-2013 22:32:44]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.quickclic.net> has joined #madokamadness
[27-Jan-2013 22:32:44]  *** ChanServ sets mode: +o Barcode
[27-Jan-2013 22:32:48]  *** Barcode is now known as TragbarenRechner[empty]
[27-Jan-2013 22:32:54]  <Yuna> so 3 OC for sumire, 5 for miaka, 4 for me?
[27-Jan-2013 22:32:58]  <IllFlower> a reminder, in case you want someone else (me) to keep track of current battle stats: https://docs.google.com/spreadsheet/ccc?key=0AizHQ9KT342udC01ckhGcnpDRmlMX3NiNklIUEpDcHc
[27-Jan-2013 22:33:00]  <Sumire> Sumire attacks.
[27-Jan-2013 22:33:03]  <Omnipresence> 14URL: [docs.google.com â accounts.google.com] Welcome to Google Docs
[27-Jan-2013 22:33:04]  <Yuna> I'll do that
[27-Jan-2013 22:33:25]  <IllFlower> Sumire: okay, roll.
[27-Jan-2013 22:33:29]  <Sumire> 14also I thought that my defense stat was Mg
[27-Jan-2013 22:33:50]  <IllFlower> (in future, if you want to attack, just go ahead and announce such, and roll immediately.)
[27-Jan-2013 22:33:53]  <IllFlower> Sumire: fixed.
[27-Jan-2013 22:33:54]  <Sumire> +roll 2m6+7
[27-Jan-2013 22:33:54]  <rollermine> Sumire: (3+2)+7=12
[27-Jan-2013 22:33:57]  <Yuna> ((Okay, updated our stats))
[27-Jan-2013 22:34:11]  <Miaka_Watanabe[Barcode]> next turn starts after sumire right?
[27-Jan-2013 22:34:15]  *** TragbarenRechner[empty] <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.quickclic.net> has left #madokamadness
[27-Jan-2013 22:34:18]  <IllFlower> Yuna: leave the ones on the character sheets for now; I'll update those later.
[27-Jan-2013 22:34:24]  <Yuna> ohhhh okay
[27-Jan-2013 22:34:33]  <Yuna> I didn't realize yours was a separate sheet
[27-Jan-2013 22:34:43]  <Yuna> undone
[27-Jan-2013 22:34:58]  <IllFlower> Sumire: went back and checked -- you had Ht on defense.
[27-Jan-2013 22:35:08]  <IllFlower> so unfixed the fix.
[27-Jan-2013 22:35:13]  <Sumire> 14oh, okay
[27-Jan-2013 22:35:19]  <IllFlower> Miaka_Watanabe[Barcode]: Yui still has her turn.
[27-Jan-2013 22:35:22]  <Miaka_Watanabe[Barcode]> ah, k.
[27-Jan-2013 22:35:24]  <Sumire> 14then in that case I think that the 2m6+7 should be 2m6+8
[27-Jan-2013 22:35:33]  <IllFlower> Sumire: it should be.
[27-Jan-2013 22:35:49]  <IllFlower> I'll let you roll again, if you want something better than 3+2 ;)
[27-Jan-2013 22:36:35]  <Sumire> +roll 2m6+8 >! watch it be even worse, as rollermine is cruel
[27-Jan-2013 22:36:35]  <rollermine> ((6+4)+4)+8=22
[27-Jan-2013 22:36:44]  <Sumire> 14ooooooor...not
[27-Jan-2013 22:36:48]  <IllFlower> +roll 2m6+10
[27-Jan-2013 22:36:48]  <rollermine> IllFlower: ((6+1)+3)+10=20
[27-Jan-2013 22:36:49]  <Nitya> 14lol
[27-Jan-2013 22:37:18]  <IllFlower> I'll burn a die.
[27-Jan-2013 22:37:21]  <IllFlower> +roll m6
[27-Jan-2013 22:37:22]  <rollermine> IllFlower: 5=5
[27-Jan-2013 22:37:26]  <IllFlower> 25, Sumire.
[27-Jan-2013 22:37:31]  <Sumire> I'll also burn a die.
[27-Jan-2013 22:37:33]  <Sumire> +roll m6
[27-Jan-2013 22:37:33]  <rollermine> Sumire: 4=4
[27-Jan-2013 22:37:44]  <IllFlower> 26. I won't challenge. 2 Mg OC.
[27-Jan-2013 22:38:06]  <IllFlower> roll for damage. d6+4+4.
[27-Jan-2013 22:38:12]  <Sumire> +roll d6+4+4
[27-Jan-2013 22:38:12]  <rollermine> Sumire: 3+4+4=11
[27-Jan-2013 22:38:39]  <IllFlower> 11 damage.
[27-Jan-2013 22:38:46]  <IllFlower> Yui's up next while Sumire describes.
[27-Jan-2013 22:39:08]  <Yui> am I good for attacking?
[27-Jan-2013 22:39:26]  <IllFlower> yeah. all you need to do is roll 2m6+8.
[27-Jan-2013 22:39:29]  <Sumire> Sumire readies her wand, aiming it at the witch, drawing her into a defensive stance---then suddenly spins 180 degrees, aiming herself at a portal.  "SHARDS!", as glass shards---more closely resembling needles than ever before---stream out of her wand, towards the portal, and at the silhouette, which the other end of the portal pointed to.
[27-Jan-2013 22:39:39]  <Yui> +roll 2m6+8
[27-Jan-2013 22:39:40]  <rollermine> Yui: (1+4)+8=13
[27-Jan-2013 22:40:01]  <Yui> ((that's a miss, right?))
[27-Jan-2013 22:40:27]  <Yuna> (this witch has insanely high stats @_@)
[27-Jan-2013 22:40:35]  <Sumire> 14level 5, Yuna
[27-Jan-2013 22:40:40]  <IllFlower> the witch reaches to grab the shards as they impact her body, throwing some of them back at Sumire. 2 damage.
[27-Jan-2013 22:41:08]  <IllFlower> Yui: yeah, the witch can passively defend against that anything up to 14.
[27-Jan-2013 22:41:42]  <Yui> +roll 1m6
[27-Jan-2013 22:41:42]  <rollermine> Yui: ((6+6+6+6+1))=25
[27-Jan-2013 22:41:47]  <IllFlower> ...
[27-Jan-2013 22:41:51]  <IllFlower> bloody
[27-Jan-2013 22:41:52]  <Miaka_Watanabe[Barcode]> what in the
[27-Jan-2013 22:42:02]  <Yui> .___________.
[27-Jan-2013 22:42:03]  <IllFlower> 1/1296 chance of
[27-Jan-2013 22:42:04]  <IllFlower> what
[27-Jan-2013 22:42:15]  <IllFlower> so that's... 28
[27-Jan-2013 22:42:16]  <IllFlower> 38
[27-Jan-2013 22:42:51]  <IllFlower> well, may as well give the dice a spin, right?
[27-Jan-2013 22:43:00]  <IllFlower> +roll 2m6+10
[27-Jan-2013 22:43:00]  <rollermine> IllFlower: (4+3)+10=17
[27-Jan-2013 22:43:11]  <IllFlower> two more.
[27-Jan-2013 22:43:12]  <SpruceZeus> ((like y'all said. witch shouldn't have gotten between Yui and Yuna :V))
[27-Jan-2013 22:43:15]  <IllFlower> +roll 2m6
[27-Jan-2013 22:43:15]  <rollermine> IllFlower: (4+4)=8
[27-Jan-2013 22:43:26]  <IllFlower> 25. not even close.
[27-Jan-2013 22:44:02]  <IllFlower> 5 Ht OC, Yui. roll d6+4+10 for damage.
[27-Jan-2013 22:44:17]  <Yui> +roll d6+4+10
[27-Jan-2013 22:44:18]  <rollermine> Yui: 1+4+10=15
[27-Jan-2013 22:44:32]  <IllFlower> go ahead and describe.
[27-Jan-2013 22:44:33]  <Yuna> .... owwww
[27-Jan-2013 22:44:38]  <Miaka_Watanabe[Barcode]> ((magical fireworkst))
[27-Jan-2013 22:45:00]  <Yui> ((but Yuna is the one with lights! Mine is shadow!))
[27-Jan-2013 22:45:16]  <Miaka_Watanabe[Barcode]> ((what I mean is that we're all exploding once we exit the nightmare))
[27-Jan-2013 22:45:22]  <IllFlower> fight shadow with shadow, Yui!
[27-Jan-2013 22:45:28]  <Yui> THAT'S THE PLAN
[27-Jan-2013 22:47:56]  <Miaka_Watanabe[Barcode]> well?
[27-Jan-2013 22:48:12]  <Yui> "I've heard about fighting fire with fire, let's see if it holds for Shadow. Yui grabs her rolling pin and rolls it down the front of her apron with cutesy sugar cookie shadows streaming off in rapid motion towards the witch. strings of shadow like the dough left behind streams forth as well.
[27-Jan-2013 22:48:48]  <Yui> (describe your death by chicks, kittens, and bunnies nemo))
[27-Jan-2013 22:49:28]  <IllFlower> the witch is able to knock some of the shadow streamers back at Yui, causing her some damage, but the rest of them impact her full force, opening up holes in the witch's body.
[27-Jan-2013 22:50:04]  <IllFlower> one final scream echoes through the witch's maze as flames begin to burst from the witch's injuries, burning away the shadow silhouette.
[27-Jan-2013 22:50:22]  <Miaka_Watanabe[Barcode]> ((aw man, I didn't even get to describe gross vein shit))
[27-Jan-2013 22:51:07]  <IllFlower> it goes up in smoke, something that looks like Kei smiling, shedding a tear, or maybe it's a trick of the eyes --
[27-Jan-2013 22:51:51]  <IllFlower> and then the flames catch the walls of the cavern, and the whole place flashes over into flames in a fraction of a second, as the photographs lining the walls turn to kindling --
[27-Jan-2013 22:52:29]  *** Saladofstones <~User@pool-70-104-149-221.lsanca.fios.verizon.net> has joined #madokamadness
[27-Jan-2013 22:52:36]  <Miaka_Watanabe[Barcode]> ((hey, stones. in the middle of an RP atm))
[27-Jan-2013 22:52:51]  <IllFlower> the air is hot enough that the silver balances scattered on the ground begin to melt.
[27-Jan-2013 22:53:29]  <IllFlower> the maze has turned into one giant blaze, and if anything screams "get the hell out of here!" more than this, I'd like to know what it is. **
[27-Jan-2013 22:53:55]  <Sumire> "I'm still utterly lost...does one of you know the way out?"
[27-Jan-2013 22:54:03]  <Miaka_Watanabe[Barcode]> Miaka was strafing backwards from Kei, but was sent tumbling backwards from the explosion. She got up quickly, but the other girls seemed to take care of the job fast enough. She looked up at Kei's...ignition, blankly. The flaring in her eyes has sputtered to a nigh-invisible smoulder, but her veins are unnaturally...visible. It's as if Miaka's flesh is just ever so slightly slightly less opaque than it shou
[27-Jan-2013 22:54:03]  <Miaka_Watanabe[Barcode]> ld be, but only as far as her veins are concerned.
[27-Jan-2013 22:54:37]  <IllFlower> Yui, Yuna, Miaka_Watanabe[Barcode], Sumire: roll d6 at some point.
[27-Jan-2013 22:54:43]  <Sumire> +roll d6
[27-Jan-2013 22:54:43]  <rollermine> Sumire: 2=2
[27-Jan-2013 22:54:45]  <Miaka_Watanabe[Barcode]> +roll d6
[27-Jan-2013 22:54:45]  <rollermine> Miaka_Watanabe[Barcode]: 6=6
[27-Jan-2013 22:54:47]  <Yuna> +roll d6
[27-Jan-2013 22:54:48]  <rollermine> Yuna: 1=1
[27-Jan-2013 22:54:49]  <Yui> +roll d6
[27-Jan-2013 22:54:49]  <rollermine> Yui: 3=3
[27-Jan-2013 22:54:51]  <Miaka_Watanabe[Barcode]> ((ballin'))
[27-Jan-2013 22:55:31]  * Miaka_Watanabe[Barcode] looks around. "Uh, back the way we came, I guess." Despite the chaos, she seems to find the garage entrance easily ((was tha tthe roll?). "This way!"
[27-Jan-2013 22:55:36]  <Miaka_Watanabe[Barcode]> roll?))*
[27-Jan-2013 22:55:41]  <IllFlower> nope. I'll tell you guys in a second...
[27-Jan-2013 22:55:50]  <Miaka_Watanabe[Barcode]> ((oh, okay. s'okay what i described there still?))
[27-Jan-2013 22:55:53]  <IllFlower> yeah.
[27-Jan-2013 22:56:12]  * Sumire follows closely behind Miaka, grabbing her hand
[27-Jan-2013 22:56:58]  <Miaka_Watanabe[Barcode]> ((half hoping I get a Rampage when we get out of here))
[27-Jan-2013 22:57:05]  <IllFlower> the flames don't burn at the initiates' bodies, but something about them seems to touch deeper, reach deeper...
[27-Jan-2013 22:57:06]  <Miaka_Watanabe[Barcode]> ((I really shouldn't, but))
[27-Jan-2013 22:57:36]  <IllFlower> Sumire and Yui suddenly collapse in pain in front of the exit.
[27-Jan-2013 22:58:09]  <Yuna> Y-yui! 
[27-Jan-2013 22:58:11]  <Yui> ((Yun-OW))
[27-Jan-2013 22:58:17]  <Yui> Yun-OW
[27-Jan-2013 22:58:19]  <Miaka_Watanabe[Barcode]> ((**s, pee-po))
[27-Jan-2013 22:58:20]  * Yuna runs over to try to tug her out through the exit
[27-Jan-2013 22:58:22]  <IllFlower> Yuna tries to reach for them, take their hands and lead them out, but Miaka starts, trying to run, run, and then --
[27-Jan-2013 22:58:26]  <IllFlower> a deafening scream.
[27-Jan-2013 22:58:31]  <Miaka_Watanabe[Barcode]> ((oh, shit.))
[27-Jan-2013 22:58:55]  <Yui> ((dun dun duuuuuuuuuuuun))
[27-Jan-2013 22:59:11]  <BGTB2005> 14:<
[27-Jan-2013 22:59:22]  <IllFlower> Miaka's figure goes in and out, up and down, shakes, shakes, she --
[27-Jan-2013 23:00:08]  <IllFlower> what happens next is a blur. somehow the four initiates manage to make it out and back into the garage alive, but now it's glowing red, the whole place is glowing red --
[27-Jan-2013 23:00:37]  <Yui> ((is there lithium in the concrete?))
[27-Jan-2013 23:00:37]  <IllFlower> take Fury Overcharge as per the last die roll.
[27-Jan-2013 23:00:49]  <Miaka_Watanabe[Barcode]> ((wait, what.))
[27-Jan-2013 23:01:03]  <IllFlower> Miaka, this puts you at 11. you have to take Fallout to eliminate at least 6 of that.
[27-Jan-2013 23:01:06]  <Miaka_Watanabe[Barcode]> ((like. I'm at 11- lol
[27-Jan-2013 23:01:16]  <Miaka_Watanabe[Barcode]> ((aight. weighing))
[27-Jan-2013 23:01:56]  <Yuna> @_@
[27-Jan-2013 23:02:08]  <Miaka_Watanabe[Barcode]> ((well! how far are we from the city))
[27-Jan-2013 23:02:27]  <BGTB2005> 14far enough?
[27-Jan-2013 23:02:30]  <IllFlower> far. if you take a Burst, it'll only affect the other girls.
[27-Jan-2013 23:02:49]  <IllFlower> you can elect to Change and wipe out 7 OC instead; that's sufficient.
[27-Jan-2013 23:03:32]  <Miaka_Watanabe[Barcode]> ((well, I can't in my right conscious burst and annihilate yui, it seems. otehrwise this would be easy...))
[27-Jan-2013 23:04:21]  <Sumire> 14fury'd be rage storm, we'd just attack each other
[27-Jan-2013 23:04:26]  <Miaka_Watanabe[Barcode]> ((yeah, yui would be at 11*2 = 22 damage ,right? which I assume you won't let count as just being knocked out of emgirl mode))
[27-Jan-2013 23:04:48]  <Miaka_Watanabe[Barcode]> ((wait, 6 OC is Flare? oh))
[27-Jan-2013 23:04:50]  <IllFlower> Miaka_Watanabe[Barcode]: that's for Mg OC.
[27-Jan-2013 23:05:40]  <Miaka_Watanabe[Barcode]> ((okay, if I can take a temporary change, I'll do that...))
[27-Jan-2013 23:05:43]  <Sumire> 1461. Heavy Metal Costume doesn't seem like a change
[27-Jan-2013 23:05:48]  <Sumire> 14I think it'd be a permanent change, actually
[27-Jan-2013 23:05:54]  <IllFlower> so basically -- you can elect to take a random -- permanent -- Change to eliminate 7 OC (or 6, but I'd do 7 :p), or fall into a Rage Storm.
[27-Jan-2013 23:06:06]  <Miaka_Watanabe[Barcode]> ((peruses for ragesturm))
[27-Jan-2013 23:06:18]  <IllFlower> p. 21.
[27-Jan-2013 23:06:39]  <IllFlower> basically, everyone in the radius is overcome by fury and attacks someone at random for a while.
[27-Jan-2013 23:06:48]  <Miaka_Watanabe[Barcode]> ((hmm. let's do that, I guess))
[27-Jan-2013 23:06:58]  *** Nitya <~Glossina@63-229-134-7.ptld.qwest.net> has left #madokamadness
[27-Jan-2013 23:07:01]  <Miaka_Watanabe[Barcode]> ((sorryyyyyyyyyyyyy :P))
[27-Jan-2013 23:07:17]  <Yui> (we have to leave in 20)
[27-Jan-2013 23:07:32]  <IllFlower> Miaka_Watanabe[Barcode]: that'd be a second battle for everyone, and this time internecine. you sure you want to do that?
[27-Jan-2013 23:07:54]  <Yuna> we might also take overcharge on our attacks...
[27-Jan-2013 23:08:03]  <Miaka_Watanabe[Barcode]> ((the one thing is if I take a perma change and I'm bailing after this...true, the overcharge...))
[27-Jan-2013 23:08:13]  <Sumire> 14just take the change
[27-Jan-2013 23:08:15]  <Miaka_Watanabe[Barcode]> ((alright, game master. have your way.))
[27-Jan-2013 23:08:18]  <Sumire> 14you can return later w/ the change
[27-Jan-2013 23:08:28]  <Miaka_Watanabe[Barcode]> ((do I roll for it?))
[27-Jan-2013 23:08:35]  <IllFlower> just saying, the other players might not be happy with fighting each other ;)
[27-Jan-2013 23:08:41]  <Miaka_Watanabe[Barcode]> ((no no, yeah, I understand.))
[27-Jan-2013 23:08:44]  <IllFlower> Miaka_Watanabe[Barcode]: roll 2d6
[27-Jan-2013 23:08:47]  <Sumire> 14yeah; +roll 10*d6+d6
[27-Jan-2013 23:08:56]  <Miaka_Watanabe[Barcode]> +roll 10*d6+d6
[27-Jan-2013 23:08:56]  <rollermine> Miaka_Watanabe[Barcode]: 10=10
[27-Jan-2013 23:09:01]  <Sumire> ...or not
[27-Jan-2013 23:09:10]  <Sumire> will need to check out parser >_<
[27-Jan-2013 23:09:11]  <IllFlower> just roll 2d6 :p
[27-Jan-2013 23:09:20]  <Miaka_Watanabe[Barcode]> +roll 2d6
[27-Jan-2013 23:09:20]  <rollermine> Miaka_Watanabe[Barcode]: (1+3)=4
[27-Jan-2013 23:09:30]  <IllFlower> okay, Fury change 13.
[27-Jan-2013 23:09:34]  <Sumire> 1413: Canine Animosity
[27-Jan-2013 23:09:36]  <Miaka_Watanabe[Barcode]> ((oh.))
[27-Jan-2013 23:09:52]  <SpruceZeus> ((So like that one scene in Nichijou >_>))
[27-Jan-2013 23:09:57]  <IllFlower> or, actually, you know what
[27-Jan-2013 23:10:01]  <BGTB2005> 14Does Not Like dogs?
[27-Jan-2013 23:10:02]  <Miaka_Watanabe[Barcode]> ((well, that was certainly better than something like "Every now and then you start screaming involuntarily."))
[27-Jan-2013 23:10:13]  <IllFlower> you can also look through the tables and find a Change that you think suits what happened
[27-Jan-2013 23:10:14]  <Sumire> 14like the Terminator, Sprucey
[27-Jan-2013 23:10:20]  <IllFlower> pp. 27-29
[27-Jan-2013 23:11:31]  <Miaka_Watanabe[Barcode]> (well the obvious one would be bloody red eyes but is that too lame))
[27-Jan-2013 23:11:42]  <IllFlower> (21, 25, 31, 55 all seem like they might be fun :D)
[27-Jan-2013 23:12:31]  <Miaka_Watanabe[Barcode]> ((violence trigger could be cool...))
[27-Jan-2013 23:12:45]  <Miaka_Watanabe[Barcode]> ((shadow would make sense with the witch, but))
[27-Jan-2013 23:12:59]  <IllFlower> that's also the Change Kei had, imagine that :p
[27-Jan-2013 23:13:07]  <Miaka_Watanabe[Barcode]> ((yeh, s'why I mentioned it :P))
[27-Jan-2013 23:13:12]  <Sumire> 14what was Kei's trigger?
[27-Jan-2013 23:13:21]  <Miaka_Watanabe[Barcode]> ((wait, what, the violence one?))
[27-Jan-2013 23:14:21]  <Miaka_Watanabe[Barcode]> ((also if I did 25 and woudl put it on my abdomen or something that'd just mak the BRS thing more obvious -_-))
[27-Jan-2013 23:14:27]  <IllFlower> Sumire: no, the shadow one.
[27-Jan-2013 23:14:38]  <Miaka_Watanabe[Barcode]> ((I do really like the shadow one))
[27-Jan-2013 23:15:19]  <BGTB2005> 14eat a sun god, gain nuclear powers
[27-Jan-2013 23:15:27]  <IllFlower> Miaka_Watanabe[Barcode]: want to take that one, then?
[27-Jan-2013 23:15:27]  <Miaka_Watanabe[Barcode]> ((would that be fine, then..?))
[27-Jan-2013 23:15:30]  <Miaka_Watanabe[Barcode]> ((yeh.))
[27-Jan-2013 23:15:49]  <Miaka_Watanabe[Barcode]> ((hell, it almost works with the vein thing I mentioned too))
[27-Jan-2013 23:15:58]  <Miaka_Watanabe[Barcode]> the temporary vein thing*
[27-Jan-2013 23:15:58]  <IllFlower> okay, done.
[27-Jan-2013 23:16:00]  <Miaka_Watanabe[Barcode]> ((sorry about the delays, everyone))
[27-Jan-2013 23:16:13]  <IllFlower> the four of you are out of the maze. now just roleplay the aftermath!
[27-Jan-2013 23:16:16]  <IllFlower> 15 minutes!
[27-Jan-2013 23:16:47]  <Yui> poni's in the bathroom rn
[27-Jan-2013 23:16:59]  * Miaka_Watanabe[Barcode] slows down as she makes it a few steps away from the ((burning?)) building, shaking. Her knees are rattling together, made more audible by the metallic kneepads rattling.
[27-Jan-2013 23:17:07]  *** Nitya <~Glossina@63-229-134-7.ptld.qwest.net> has joined #madokamadness
[27-Jan-2013 23:17:08]  <Yui> and back
[27-Jan-2013 23:17:55]  * Miaka_Watanabe[Barcode] transforms back and collapses on the grass just outside of the paved area.
[27-Jan-2013 23:18:37]  <Sumire> "Is....is that what's going to happen to all of us?"
[27-Jan-2013 23:19:04]  <Miaka_Watanabe[Barcode]> She's pale, looking blankly across the ground. She does seem to be breathing, but aside from glancing at Sumire, she offers no response to the question.
[27-Jan-2013 23:19:18]  <jseblan> whoa hey, Rose Lalonde was introduced on my birthday
[27-Jan-2013 23:19:21]  <jseblan> I never noticed
[27-Jan-2013 23:19:30]  * Yuna kneels down next to Miaki and looks her over
[27-Jan-2013 23:19:40]  <SpruceZeus> ((uh jseblan i think you are in the wrong tab >_>))
[27-Jan-2013 23:19:42]  <Yuna> (um, should we do our overcharge stuff now ?)
[27-Jan-2013 23:19:44]  * IllFlower hooks jseblan and drags him off the stage
[27-Jan-2013 23:19:49]  <Miaka_Watanabe[Barcode]> ((heh))
[27-Jan-2013 23:19:59]  <Miaka_Watanabe[Barcode]> ((well, maybe you guys should take them next session or something? I'll like get up now and))
[27-Jan-2013 23:20:13]  <SpruceZeus> ((@IllFlower: *slide whistle*))
[27-Jan-2013 23:20:13]  <Miaka_Watanabe[Barcode]> ((plus then you can take a point off and all that? iunno.))
[27-Jan-2013 23:20:15]  <IllFlower> Yuna: none of you are at 6 any more, so you can elect to not do so and simply remove 1 OC per attribute after this session is over.
[27-Jan-2013 23:20:15]  <Sumire> 14I think I might do that, simply because I'm kindo f pressed for time
[27-Jan-2013 23:20:24]  <Yuna> ((okay))
[27-Jan-2013 23:20:28]  <Sumire> 14I think I'll do that.
[27-Jan-2013 23:21:22]  * Miaka_Watanabe[Barcode] continues to stare across the grass. The flames appear to play strange shadows across her body. She begins to stir.
[27-Jan-2013 23:22:02]  <Miaka_Watanabe[Barcode]> "Kei...I...hope you're happy, now..."
[27-Jan-2013 23:22:42]  * Miaka_Watanabe[Barcode] gets up. As she stands, though, her shadow stays in place.
[27-Jan-2013 23:22:57]  <IllFlower> behind the initiates, the garage is now engulfed in flames, burning away whatever flammable material may have been left behind. the offices, apparently built of wood, are unrecognizable.
[27-Jan-2013 23:23:08]  <Miaka_Watanabe[Barcode]> ((er, shit. shoudl I leave the shadowshit to you))
[27-Jan-2013 23:23:14]  <IllFlower> no, keep going.
[27-Jan-2013 23:23:35]  <Sumire> "I wonder if anyone will actually notice that building go up in flames."
[27-Jan-2013 23:23:50]  <Yuna> The fire departmne tmight be here soon...
[27-Jan-2013 23:23:55]  <IllFlower> the sound of sirens can be heard in the background, more at once than the girls can ever remember hearing.
[27-Jan-2013 23:24:05]  <Yuna> W-we... we should ge tout of here....
[27-Jan-2013 23:24:30]  <Sumire> "Yeah, that would be a good idea."
[27-Jan-2013 23:24:37]  <Miaka_Watanabe[Barcode]> ((**?))
[27-Jan-2013 23:24:46]  <IllFlower> (keep going, but everyone -- Sumire and Yui especially -- tell me who you're gifting your XP to.)
[27-Jan-2013 23:24:49]  <IllFlower> **
[27-Jan-2013 23:25:01]  <Sumire> 14gift to Yui for killing the monster with bunnies
[27-Jan-2013 23:25:20]  <Yui> to Yuna for covering my butt when I was gonnna die
[27-Jan-2013 23:25:45]  <Miaka_Watanabe[Barcode]> ((to sumire, for equality and for doing the hand-grab thing when I didn't expect it))
[27-Jan-2013 23:26:20]  * Miaka_Watanabe[Barcode] sways as she stands, still pale, now  sweating. The shadow appears to project from her feet outwards, but...it remains laying there. It appears to be... fraying?
[27-Jan-2013 23:27:03]  <Yuna> to Miaki for somehow managing 11 overcharge
[27-Jan-2013 23:27:05]  * Miaka_Watanabe[Barcode] (is looking at the flames, though, unaware)
[27-Jan-2013 23:28:04]  <Miaka_Watanabe[Barcode]> ((yo, guys, if you see it...))
[27-Jan-2013 23:28:36]  <SpruceZeus> ((sharp check >_>))
[27-Jan-2013 23:28:43]  <Sumire> 14when you see it, you'll shit bricks
[27-Jan-2013 23:28:44]  <Miaka_Watanabe[Barcode]> ((bah, just point it out and I'll turn around and sumfn'll happen))
[27-Jan-2013 23:30:22]  <Miaka_Watanabe[Barcode]> ((yuna?))
[27-Jan-2013 23:31:36]  <Miaka_Watanabe[Barcode]> ((where did everyone go .-.))
[27-Jan-2013 23:32:15]  <IllFlower> ponicalica and buttercupistiny have to be someplace. looks like it's going to be just Miaka and Yuna right now.
[27-Jan-2013 23:32:17]  <Yuna> ((I duno...?))
[27-Jan-2013 23:32:23]  <Yuna> ((Um, I don't know what to do @_@))
[27-Jan-2013 23:32:28]  <Yuna> ((I was hoping to let other peopel carry things...))
[27-Jan-2013 23:32:38]  <IllFlower> roll 2d6+7.
[27-Jan-2013 23:32:40]  <Miaka_Watanabe[Barcode]> ((ah, sorry. okay well, they can read this when they get back I guess. just like mention that I am standing but there is a flat shadow behidn me :P))
[27-Jan-2013 23:32:45]  <Miaka_Watanabe[Barcode]> ((or sharp check I Guess))
[27-Jan-2013 23:32:45]  <Sumire> 14I think the session is basically over :p
[27-Jan-2013 23:33:18]  <IllFlower> battle's over. presumably this isn't a scenario where the characters can just walk away feeling okay, though.
[27-Jan-2013 23:33:31]  <Miaka_Watanabe[Barcode]> ((I got this all typed out, yall))
[27-Jan-2013 23:35:04]  *** jseblan <~quassel@CPEbcc81007908e-CMbcc81007908b.cpe.net.cable.rogers.com> has left #madokamadness
[27-Jan-2013 23:35:06]  <Miaka_Watanabe[Barcode]> ((yuna: if anything you can just be like <<yuna was standing behind miaka and noticed this inconsistency. "miaka, your...shadow..."))
[27-Jan-2013 23:35:12]  <Miaka_Watanabe[Barcode]> >>))*
[27-Jan-2013 23:35:48]  <IllFlower> ("chaos. disorder. nobody can remember what happened next. everyone woke up and... white, blank...")
[27-Jan-2013 23:36:03]  <Miaka_Watanabe[Barcode]> ((I can just paste in the description if nobody specifically wants to say anything))
[27-Jan-2013 23:36:31]  <Miaka_Watanabe[Barcode]> Miaka seems to feel a chill across her body; she turns around, dazed, and looks at the ground in front of her. The shadow seemingly turns over as she does so, as if it were a human being rolling over, and the shadow seems to come into unnatural focus; but now it has become apparent that the fraying is actually rotting. The girlish silhouette rapidly gives away to a collapsing skeletal frame, writhing as if i
[27-Jan-2013 23:36:31]  <Miaka_Watanabe[Barcode]> t were suffering through this process. Miaka faints; as she hits the ground once more, her shadow blinks back to normal.
[27-Jan-2013 23:36:45]  <Miaka_Watanabe[Barcode]> ((there.))
[27-Jan-2013 23:36:58]  <Yuna> (it's hard to play without the other two, but um... okay)
[27-Jan-2013 23:37:16]  <Yuna> Miaka.... your shadow... it's... it's moving weirdly.  Like Kei's...
[27-Jan-2013 23:37:23]  <Yuna> Did you get... infected?
[27-Jan-2013 23:37:39]  <Miaka_Watanabe[Barcode]> ((oh, okay.)) well, that was said, and then the description*
[27-Jan-2013 23:37:48]  <IllFlower> (Yui and Sumire suddenly got bitten by a yuri bug and decided to have a wholly inappropriately timed escapade...)
[27-Jan-2013 23:38:03]  <Yuna> (is that a heart fallout?)
[27-Jan-2013 23:38:08]  <IllFlower> (a joke.)
[27-Jan-2013 23:38:15]  <Yuna> (I was kidding too)
[27-Jan-2013 23:38:35]  <IllFlower> (jokes are Mg.)
[27-Jan-2013 23:38:39]  <Miaka_Watanabe[Barcode]> ((heh))
[27-Jan-2013 23:39:30]  <IllFlower> actually, mind if I take over?
[27-Jan-2013 23:39:34]  <Miaka_Watanabe[Barcode]> ((sorry this was such a clusterfuck, I get a little nervous when it comes to actual consequences in-game. and yeah why not))
[27-Jan-2013 23:40:52]  <IllFlower> as Miaka hits the ground, she notices that Sumire and Yui -- wait, weren't they just up and talking a second ago? -- are sprawled out on the driveway of the repair shop, about a meter away from each other.
